Species,Family,locomotion,hunting,diet,diet_functional,bayou_reg_size,bayou_reg_hbER,bayou_reg_headER,bayou_reg_AEI_S,bayou_reg_rib_sc,geomean,hbER,headER,bodyER,AEI_C,AEI_T,AEI_L,AEI_S,body_length,avgRibLength,ln_se_geomean,ln_se_hbER,ln_se_headER,ln_se_headER.1,ln_se_bodyER,ln_se_AEI_C,ln_se_AEI_T,ln_se_AEI_L,ln_se_AEI_S,ln_se_avgRibLength
Canis_mesomelas,08Canidae,terrestrial,pounce,carnivore,vert_flesh,base,base,base,base,base,110.6719904,4.688127075,3.173683897,3.627822024,4.841885637,4.969036597,4.759117063,1.87656359,497.2875,137.125,0.012606768,0.012832222,0.013307271,0.013307271,0.008798451,0.029770438,0.019172796,0.017697942,0.011498691,0.025319829
Canis_simensis,08Canidae,terrestrial,pounce,carnivore,vert_flesh,base,base,base,base,base,143.3983454,4.817641921,3.400673401,3.641513828,4.713768253,5.24009608,4.377422633,1.709856548,625.43,171.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerdocyon_thous,08Canidae,terrestrial,pounce,omnivore,generalist,base,base,base,base,base,101.9289413,5.277546386,3.288815899,4.082415168,4.802452841,5.095315191,4.602130464,1.806201758,463.2525,113.525,0.042869866,0.013267604,0.014733159,0.014733159,0.011480976,0.036784499,0.023498226,0.015030675,0.153730058,0.046048121
Chrysocyon_brachyurus,08Canidae,terrestrial,pounce,omnivore,generalist,base,base,base,base,base,169.6358686,4.872839772,3.043101448,3.778135375,5.081812619,4.456834549,4.16022671,1.753402322,741.83,196.25,0.028002519,0.02654795,0.023057691,0.023057691,0.027524228,0.068525757,0.018857142,0.014483234,0.090070436,0.0120216
Cuon_alpinus,08Canidae,terrestrial,pursuit,carnivore,vert_flesh,base,base,base,base,base,143.7770666,4.268421272,2.887021209,3.374645305,4.439066991,5.005949783,4.68068435,2.102057903,651.24,193,0.001256805,0.010200133,0.008361143,0.008361143,0.013146592,0.024744967,0.004597674,0.019628912,0.030883186,0.007772177
Lycalopex_griseus,08Canidae,terrestrial,pounce,omnivore,generalist,base,base,base,base,base,79.9384952,5.482879107,2.928958465,4.206151802,6.160810049,5.36304563,5.29660459,1.822010348,372.745,88.65,0.003434974,0.008801672,0.040662408,0.040662408,0.009587554,0.001330085,0.004171413,0.002902916,0.002403142,0.007332337
Lycaon_pictus,08Canidae,terrestrial,pursuit,carnivore,vert_flesh,base,base,base,base,base,164.7586853,4.092428881,2.696249194,3.227750135,4.230077432,4.635446437,4.427343381,1.550417651,701.52,217.4,0.040465945,0.009679996,0.01069034,0.01069034,0.011093227,0.015157932,0.025663592,0.019250503,0.084060255,0.02892862
Nyctereutes_procyonoides,08Canidae,semi_arboreal,pounce,omnivore,generalist,base,base,base,base,base,82.23189976,4.896081007,3.102768083,3.770365117,3.936330934,5.312721591,4.65175999,1.538475758,356.61,94.66666667,0.007982066,0.02671875,0.00758104,0.00758104,0.032140655,0.040550518,0.008210438,0.023186099,0.111613681,0.022856006
Otocyon_megalotis,08Canidae,terrestrial,occasional,omnivore,invertebrates,base,base,base,base,base,81.02670661,4.758395414,3.309095872,3.613398165,4.670982621,4.956128845,4.234774819,1.338160734,351.604,97.32,0.013777438,0.010077359,0.016219498,0.016219498,0.01351626,0.027635832,0.007657906,0.027871039,0.083888388,0.013022645
Pseudalopex_culpaeus,08Canidae,terrestrial,pounce,carnivore,vert_flesh,base,base,base,base,base,111.1319562,5.009213525,3.530744537,3.798507695,4.657229484,4.972736495,4.661471951,1.666643917,494.245,130.15,0.048453452,0.002571916,0.007709475,0.007709475,0.001539328,0.031581579,0.028214129,0.010604734,0.055599886,0.047288387
Pseudalopex_gymnocercus,08Canidae,terrestrial,pounce,carnivore,vert_flesh,base,base,base,base,base,106.2527107,5.108171955,3.379240591,3.941457056,4.400763463,4.977573487,4.580535073,1.472303023,475.6425,120.775,0.006438125,0.013997534,0.024267365,0.024267365,0.012606313,0.019005451,0.016879223,0.009544979,0.071939454,0.016155219
Pseudalopex_vetulus,08Canidae,terrestrial,occasional,omnivore,generalist,base,base,base,base,base,80.01654163,5.844590781,2.975135577,4.487761781,4.767917691,5.740044522,5.033765643,1.49832708,370.4858334,82.4,0.099170948,0.003039638,0.041637686,0.041637686,0.020250803,0.054110807,0.034009883,0.010521948,0.151482588,0.108432691
Speothos_venaticus,08Canidae,terrestrial,pounce,carnivore,vert_flesh,base,base,base,base,base,92.69282689,5.171066584,2.863019087,3.958671646,4.221014294,6.127878126,5.439807637,1.563106244,422.691,106.92,0.013461162,0.017763113,0.018381325,0.018381325,0.020649859,0.012701149,0.020692524,0.045364209,0.104504191,0.021336642
Urocyon_cinereoargenteus,08Canidae,semi_arboreal,pounce,omnivore,generalist,base,base,base,base,base,90.11110147,6.007661035,3.201288682,4.686923429,4.782527168,5.185198241,5.349722855,2.154501785,428.47,91.45,0.009742121,0.00823173,0.012552839,0.012552839,0.011853074,0.058840185,0.02043038,0.024079053,0.037197233,0.009731721
Urocyon_littoralis,08Canidae,semi_arboreal,occasional,omnivore,generalist,base,base,base,base,base,69.7768732,5.721783354,2.983777189,4.392813033,4.692209874,5.389266381,5.684867935,1.936288948,323.994,73.88,0.038259147,0.013817799,0.019940157,0.019940157,0.015166076,0.039286286,0.052985326,0.028320151,0.031930201,0.035007101
Vulpes_chama,08Canidae,terrestrial,pounce,omnivore,generalist,base,base,base,base,base,85.6050444,5.372556793,3.096014007,4.161517124,4.808702989,5.374829996,5.196984976,1.745508546,389.375,93.65,0.009956947,0.022388822,0.037475837,0.037475837,0.025000208,0.029084122,0.030237785,0.00699942,0.099183527,0.025098702
Vulpes_lagopus,08Canidae,terrestrial,pounce,carnivore,vert_flesh,base,base,base,base,base,85.11227743,4.849029223,3.098834779,3.650793854,4.146601987,5.304393198,4.851288778,1.780081121,372.4281322,102.06,0.018071016,0.007975325,0.014052913,0.014052913,0.012220293,0.029113302,0.021133824,0.029862517,0.099403464,0.016447735
Vulpes_macrotis,08Canidae,terrestrial,pounce,carnivore,vert_flesh,base,base,base,base,base,72.8130258,5.306286486,3.219865035,3.993024513,5.048549152,5.714678749,5.550953091,1.525764673,332.575,83.2,0.033943664,0.009268436,0.008170489,0.008170489,0.02405743,0.139026017,0.066815549,0.02970403,0.011434243,0.044500505
Vulpes_rueppellii,08Canidae,terrestrial,occasional,omnivore,generalist,base,base,base,base,base,73.72607625,4.857013374,3.227346888,3.662746311,4.453275879,5.387748705,5.350433588,1.636048812,327.445,89.4,0.014868503,0.011006676,0.023138679,0.023138679,0.010473284,0.013522298,0.010650287,0.02299232,0.076556008,0.015091098
Vulpes_velox,08Canidae,terrestrial,pounce,omnivore,vert_flesh,base,base,base,base,base,77.2015815,4.957599285,3.160221899,3.734911531,4.60227281,5.583918444,5.429527704,1.580182262,344.586,92.32,0.028852921,0.008110469,0.007831286,0.007831286,0.005598726,0.017498428,0.022550679,0.016193307,0.035060229,0.033049045
Vulpes_vulpes,08Canidae,terrestrial,pounce,omnivore,vert_flesh,base,base,base,base,base,94.23534992,5.179953975,3.19717747,3.983648288,4.721646979,5.537269015,5.617530028,2.018553218,441.8497727,110.95,0.019095543,0.009172649,0.015092591,0.015092591,0.008889859,0.070006343,0.03757074,0.018983707,0.034164983,0.018697911
Vulpes_zerda,08Canidae,terrestrial,occasional,omnivore,generalist,base,base,base,base,base,58.89098523,5.060504928,3.030550207,3.825706591,4.379180221,5.670485028,5.293407888,1.572473787,263.4475,68.9,0.008935206,0.01650608,0.030442058,0.030442058,0.015418158,0.021341472,0.017500641,0.018296669,0.102530158,0.014190161
Ailuropoda_melanoleuca,09Ursidae,semi_arboreal,occasional,herbivore,tough,base,ursidae,base,ursidae,base,229.6693222,3.449762278,2.484641985,2.636900145,2.819502155,4.456886941,2.219655003,2.850055745,851.185,322.425,0.029520473,0.014263224,0.010591302,0.010591302,0.01760597,0.045975227,0.038731997,0.146205186,0.061346278,0.029077646
Helarctos_malayanus,09Ursidae,semi_arboreal,occasional,omnivore,generalist,base,ursidae,base,ursidae,base,194.1716423,3.235066079,2.591844014,2.466784141,2.919799032,4.421880814,1.598427132,2.353658537,699.95,283.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melursus_ursinus,09Ursidae,semi_arboreal,occasional,insectivore,invertebrates,base,ursidae,base,ursidae,base,250.6560642,3.360822376,3.363945272,2.540452026,3.657958555,4.350196788,1.767037975,2.756598368,922.6829545,363.65,0.032551283,0.021465776,0.00669517,0.00669517,0.020571843,0.049640306,0.013963844,0.078348862,0.078880275,0.041734249
Tremarctos_ornatus,09Ursidae,semi_arboreal,occasional,omnivore,generalist,base,ursidae,base,ursidae,base,261.3014722,3.397749301,2.889520565,2.715164178,3.492404584,3.800005491,2.779199245,3.028450358,993.16,365.4,0.061254242,0.013541098,0.009734273,0.009734273,0.026521279,0.016472844,0.017752564,0.030784445,0.022693927,0.042170574
Ursus_americanus,09Ursidae,semi_arboreal,occasional,omnivore,generalist,base,ursidae,base,ursidae,base,245.2839392,3.548731394,3.245247967,2.773335905,3.731853152,4.58301369,2.836368425,3.183461514,962.5225,350.125,0.067657864,0.037182166,0.010081821,0.010081821,0.038737163,0.038002927,0.080988114,0.070522141,0.10993695,0.081796335
Ursus_arctos,09Ursidae,terrestrial,occasional,omnivore,generalist,base,ursidae,base,ursidae,base,308.8702053,3.156113748,3.232166087,2.444953443,3.648950659,4.386453016,2.390579347,2.744597739,1149.805,471.35,0.090284196,0.013694434,0.022844761,0.022844761,0.011194315,0.045891953,0.057270229,0.105747848,0.115487893,0.076556142
Ursus_maritimus,09Ursidae,semi_aquatic,ambush,carnivore,vert_flesh,base,ursidae,base,ursidae,base,379.0043966,3.770831537,2.800349047,2.993459891,3.569606112,4.465200716,2.45286859,2.840678387,1454.3525,485.825,0.035559777,0.008874705,0.155407357,0.155407357,0.01105955,0.031900219,0.027712454,0.036934834,0.015741291,0.015585282
Ursus_thibetanus,09Ursidae,arboreal,occasional,omnivore,generalist,base,ursidae,base,ursidae,base,231.0150051,3.687440336,3.238143438,2.903387636,3.550377295,5.224062047,2.959493672,3.029731212,932.225,321.15,0.02043175,0.010728527,0.026799686,0.026799686,0.012934228,0.028364801,0.031332935,0.023608338,0.146323276,0.035438477
Odobenus_rosmarus,10Odobenidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,415.3224585,3.676655311,2.473323717,3.054804698,3.225253488,6.691582747,2.53899286,1.829484244,1774.748333,583.6,0.035222362,0.033469347,0.052335352,0.052335352,0.034396393,0.025293648,0.023881851,0.105839072,0.035462868,0.064383942
Arctocephalus_australis,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,182.2132452,4.37775696,2.88506192,3.549069707,4.061661843,9.14678496,3.60335376,2.409302238,888.62,250.4,0.027025112,0.014291799,0.019452487,0.019452487,0.009770565,0.102893115,0.027439251,0.277031501,0.047780312,0.002396171
Arctocephalus_galapagoensis,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,179.3683379,4.588665113,2.59831172,3.744638415,3.534741245,8.710097943,4.011069594,2.176405263,862.58,230.15,0.090869557,0.025888481,0.025249595,0.025249595,0.024077037,0.021056454,0.064257447,0.217327573,0.06097863,0.040648051
